t [s],a [m/s^2]
0,0
0.005,1.717736e-06
0.01,3.980752e-06
0.015,9.58284e-06
0.02,1.219994e-05
0.025,-1.383652e-05
0.03,8.613575e-05
0.035,0.0004919347
0.04,0.0008448697
0.045,0.0007426786
0.05,0.0001827451
0.055,-0.0001725429
0.06,0.0002652169
0.065,0.001342829
0.07,0.001880523
0.075,0.001958293
0.08,0.002352182
0.085,0.002032574
0.09,0.0004710473
0.095,-0.0003083895
0.1,-3.730809e-05
0.105,0.0003513921
0.11,-0.0005809097
0.115,-0.003056752
0.12,-0.003057623
0.125,-0.0005710451
0.13,0.0002305431
0.135,-0.0001689887
0.14,0.0001378095
0.145,-0.0003673623
0.15,-0.003542054
0.155,-0.006777126
0.16,-0.007684298
0.165,-0.00682597
0.17,-0.004017741
0.175,8.754683e-05
0.18,0.003476815
0.185,0.003458443
0.19,-0.0001532286
0.195,-0.0035872
0.2,-0.004464672
0.205,-0.003222244
0.21,-0.001016316
0.215,0.0007314124
0.22,0.002663341
0.225,0.004969369
0.23,0.006351397
0.235,0.004643725
0.24,0.003354653
0.245,0.004054882
0.25,0.00351371
0.255,-0.000139872
0.26,-0.003980834
0.265,-0.005070406
0.27,-0.003248177
0.275,-0.001206549
0.28,-0.004146621
0.285,-0.008394592
0.29,-0.008658865
0.295,-0.008881737
0.3,-0.01333431
0.305,-0.01648488
0.31,-0.01380345
0.315,-0.01261302
0.32,-0.01881159
0.325,-0.02457817
0.33,-0.01926974
0.335,-0.007953711
0.34,-0.001107483
0.345,-0.004495354
0.35,-0.01318803
0.355,-0.0190106
0.36,-0.01713317
0.365,-0.005782642
0.37,0.009440986
0.375,0.02170512
0.38,0.02677954
0.385,0.02736597
0.39,0.0267124
0.395,0.02209083
0.4,0.01429626
0.405,0.007843884
0.41,0.004865012
0.415,0.00868134
0.42,0.01815197
0.425,0.0274154
0.43,0.03232082
0.435,0.03212625
0.44,0.02761868
0.445,0.01897211
0.45,0.003126938
0.455,-0.01833603
0.46,-0.03356061
0.465,-0.03816418
0.47,-0.03856375
0.475,-0.03794232
0.48,-0.03383689
0.485,-0.02829147
0.49,-0.03015704
0.495,-0.04205061
0.5,-0.05364018
0.505,-0.05716275
0.51,-0.05306632
0.515,-0.0483419
0.52,-0.04807147
0.525,-0.04856104
0.53,-0.04282361
0.535,-0.02981218
0.54,-0.01494275
0.545,0.0005607733
0.55,0.0129341
0.555,0.01396453
0.56,0.009664358
0.565,0.01356139
0.57,0.02814481
0.575,0.04806424
0.58,0.06519667
0.585,0.0734571
0.59,0.06912553
0.595,0.04901196
0.6,0.02262838
0.605,5.137747e-05
0.61,-0.01538176
0.615,-0.02367433
0.62,-0.0254129
0.625,-0.01880248
0.63,-0.0009563474
0.635,0.01929438
0.64,0.02270381
0.645,-0.0003349928
0.65,-0.03379533
0.655,-0.05315491
0.66,-0.05304848
0.665,-0.04859305
0.67,-0.05362862
0.675,-0.06177419
0.68,-0.05862477
0.685,-0.04342334
0.69,-0.02436791
0.695,-0.01017148
0.7,-0.005354753
0.705,-0.005306425
0.71,-0.0002372563
0.715,0.01341423
0.72,0.02897066
0.725,0.03659209
0.73,0.03426852
0.735,0.03202095
0.74,0.03815137
