t [s],a [m/s^2]
0,-0
0.005,-2.794033e-06
0.01,-8.040241e-06
0.015,-1.520339e-05
0.02,-2.425802e-05
0.025,-3.505822e-05
0.03,-4.779488e-05
0.035,-6.224792e-05
0.04,-7.876788e-05
0.045,-9.698814e-05
0.05,-0.0001174438
0.055,-0.0001395713
0.06,-0.0001641292
0.065,-0.0001902803
0.07,-0.0002191113
0.075,-0.0002495506
0.08,-0.0002827045
0.085,-0.0003169144
0.09,-0.0003557063
0.095,-0.0003960244
0.1,-0.0004332779
0.105,-0.0004409263
0.11,-0.0004782147
0.115,-0.0004789331
0.12,-0.0003913614
0.125,-0.0005083999
0.13,-0.0008499983
0.135,0.0001194934
0.14,0.002585985
0.145,0.002812117
0.15,-0.0005246318
0.155,-0.00370242
0.16,-0.004411489
0.165,-0.004342157
0.17,-0.003763625
0.175,-0.0009952838
0.18,0.003411938
0.185,0.006743469
0.19,0.006290501
0.195,0.003772333
0.2,0.003137964
0.205,0.002706596
0.21,-0.0005898926
0.215,-0.004115041
0.22,-0.00487431
0.225,-0.004555278
0.23,-0.004827846
0.235,-0.004164215
0.24,-0.001161283
0.245,0.003165049
0.25,0.00807028
0.255,0.01085931
0.26,0.007150644
0.265,-0.0002576749
0.27,-0.004552893
0.275,-0.006077262
0.28,-0.00812813
0.285,-0.009441699
0.29,-0.009625867
0.295,-0.008729436
0.3,-0.005470904
0.305,-0.000658402
0.31,0.003392759
0.315,0.003797491
0.32,-0.001465377
0.325,-0.009489146
0.33,-0.01292671
0.335,-0.01102098
0.34,-0.009583551
0.345,-0.008354019
0.35,-0.007083788
0.355,-0.008989256
0.36,-0.009988724
0.365,-0.005124393
0.37,0.002948039
0.375,0.008907571
0.38,0.0116666
0.385,0.01387733
0.39,0.01706607
0.395,0.0164298
0.4,0.009952229
0.405,0.00191586
0.41,-0.004309408
0.415,-0.006111877
0.42,-0.005644545
0.425,-0.005858514
0.43,-0.005081282
0.435,-0.00141805
0.44,0.003551881
0.445,0.008792412
0.45,0.01323984
0.455,0.01241558
0.46,0.004477208
0.465,-0.006104361
0.47,-0.01515723
0.475,-0.0203205
0.48,-0.01983677
0.485,-0.01490603
0.49,-0.0118333
0.495,-0.01405357
0.5,-0.01654484
0.505,-0.01425211
0.51,-0.007058476
0.515,0.0001311054
0.52,0.002673387
0.525,-0.0006611914
0.53,-0.00526195
0.535,-0.007142218
0.54,-0.004848986
0.545,0.003445245
0.55,0.01340748
0.555,0.01754221
0.56,0.01444594
0.565,0.007563772
0.57,-0.0005876069
0.575,-0.006108365
0.58,-0.005823134
0.585,-0.0008960021
0.59,0.00344983
0.595,0.003589961
0.6,0.003594993
0.605,0.009608524
0.61,0.01697426
0.615,0.01353799
0.62,-0.001071381
0.625,-0.01519455
0.63,-0.02071382
0.635,-0.02012509
0.64,-0.02050635
0.645,-0.02530262
0.65,-0.02980789
0.655,-0.02539816
0.66,-0.009892528
0.665,0.007285703
0.67,0.01387404
0.675,0.008716167
0.68,-0.001786502
0.685,-0.01018177
0.69,-0.01092204
0.695,-0.005890707
0.7,-0.001521475
0.705,-0.0006909736
0.71,-0.001330012
0.715,-0.00141008
0.72,-0.0005840288
0.725,-0.001223417
0.73,-0.007139485
0.735,-0.01385245
0.74,-0.01188472
0.745,-0.0009656808
0.75,0.01332874
0.755,0.02357547
0.76,0.0210312
0.765,0.005634636
0.77,-0.01190133
0.775,-0.0248396
0.78,-0.03029887
0.785,-0.02529214
0.79,-0.009946806
0.795,0.007209725
0.8,0.01410906
0.805,0.007913289
0.81,-0.00591688
0.815,-0.01978275
0.82,-0.03091802
0.825,-0.03943729
0.83,-0.03954955
0.835,-0.02524582
0.84,-0.00113909
0.845,0.01794764
0.85,0.01799437
0.855,-0.001503595
0.86,-0.02506716
0.865,-0.03423943
0.87,-0.0258877
0.875,-0.01107197
0.88,0.003554863
0.885,0.01929849
0.89,0.03100123
0.895,0.02804996
0.9,0.01304669
0.905,-0.0005887293
0.91,-0.006539648
0.915,-0.01047512
0.92,-0.01695038
0.925,-0.01873765
0.93,-0.007170822
0.935,0.00933901
0.94,0.01222454
0.945,-0.006147626
0.95,-0.029567
0.955,-0.03487126
0.96,-0.02026153
0.965,-0.0065616
0.97,-0.01168807
0.975,-0.02831634
0.98,-0.03646161
0.985,-0.02883987
0.99,-0.01192614
0.995,0.004025289
1,0.01734232
1.005,0.03344405
1.01,0.05149978
1.015,0.05978152
1.02,0.05341725
1.025,0.04097998
1.03,0.02834571
1.035,0.01678344
1.04,0.009240774
1.045,0.008607605
1.05,0.007785337
1.055,-0.002154931
1.06,-0.0137699
1.065,-0.01290317
1.07,0.0008697836
1.075,0.01573529
1.08,0.01886203
1.085,0.009143058
1.09,-0.01220451
1.095,-0.04422378
1.1,-0.07306004
1.105,-0.07916432
1.11,-0.05279258
1.115,-0.002566752
1.12,0.04724188
1.125,0.07575561
1.13,0.07483935
1.135,0.04840307
1.14,0.006483306
1.145,-0.03876246
1.15,-0.06879573
1.155,-0.069214
1.16,-0.03893627
1.165,0.007937464
1.17,0.04648919
1.175,0.06094293
1.18,0.05721366
1.185,0.05104439
1.19,0.05121312
1.195,0.05751585
1.2,0.06033758
1.205,0.04647332
1.21,0.01829005
1.215,-0.00584572
1.22,-0.01182549
1.225,-0.0001446456
1.23,0.01677497
1.235,0.02297271
1.24,0.01377444
1.245,-0.00317363
1.25,-0.0136201
1.255,-0.007244367
1.26,0.007918064
1.265,0.0188731
1.27,0.02125883
1.275,0.01930356
1.28,0.02183729
1.285,0.03212002
1.29,0.04736375
1.295,0.05696148
1.3,0.04425222
1.305,0.01053995
1.31,-0.01725032
1.315,-0.01911159
1.32,-0.002329256
1.325,0.007879175
1.33,-0.001315593
1.335,-0.01979466
1.34,-0.03568893
1.345,-0.0494942
1.35,-0.06383847
1.355,-0.07412574
1.36,-0.072441
1.365,-0.05967627
1.37,-0.04960454
1.375,-0.04999281
1.38,-0.04903008
1.385,-0.02987834
1.39,0.003456387
1.395,0.02628712
1.4,0.02308985
1.405,0.003936581
1.41,-0.01562269
1.415,-0.03204796
1.42,-0.04281322
1.425,-0.04051349
1.43,-0.02626276
1.435,-0.004913429
1.44,0.0212657
1.445,0.04748943
1.45,0.06621216
1.455,0.06493489
1.46,0.03751963
1.465,-0.00189124
1.47,-0.02920391
1.475,-0.03157018
1.48,-0.01484744
1.485,0.007311887
1.49,0.02292302
1.495,0.02770375
1.5,0.02204448
1.505,0.008486813
1.51,-0.006362255
1.515,-0.01578232
1.52,-0.01613159
1.525,-0.00619036
1.53,0.01321887
1.535,0.0362976
