t [s],a [m/s^2]
0,-0
0.005,-7.306443e-05
0.01,-0.0002965827
0.015,-0.0007130156
0.02,-0.001310009
0.025,-0.001956084
0.03,-0.002407927
0.035,-0.002202484
0.04,-0.001691233
0.045,-0.0005778764
0.05,0.0004304123
0.055,0.0006061571
0.06,0.0004097024
0.065,0.0008164558
0.07,0.004321431
0.075,0.008385763
0.08,0.0102815
0.085,0.01259338
0.09,0.01491957
0.095,0.01879492
0.1,0.02017916
0.105,0.01463102
0.11,0.01108788
0.115,0.007849739
0.12,-0.001715403
0.125,-0.01555054
0.13,-0.02515469
0.135,-0.02621683
0.14,-0.02548297
0.145,-0.03032511
0.15,-0.03991625
0.155,-0.0442504
0.16,-0.04516654
0.165,-0.04439968
0.17,-0.03126282
0.175,-0.005572663
0.18,0.0234679
0.185,0.04610175
0.19,0.05335961
0.195,0.04322547
0.2,0.02383033
0.205,0.005979687
0.21,-0.002770855
0.215,-0.001592397
0.22,0.008893961
0.225,0.02561662
0.23,0.04828548
0.235,0.07766534
0.24,0.1082332
0.245,0.1270231
0.25,0.1253929
0.255,0.1002928
0.26,0.05792063
0.265,-0.001731015
0.27,-0.06876766
0.275,-0.1182078
0.28,-0.1271779
0.285,-0.1030981
0.29,-0.07857022
0.295,-0.06521536
0.3,-0.05415351
0.305,-0.04866565
0.31,-0.06347779
0.315,-0.1053489
0.32,-0.1544891
0.325,-0.1895292
0.33,-0.2034694
0.335,-0.1962795
0.34,-0.1564196
0.345,-0.06853379
0.35,0.03672608
0.355,0.1050799
0.36,0.1269598
0.365,0.1330197
0.37,0.1458295
0.375,0.1561594
0.38,0.1516592
0.385,0.1345991
0.39,0.1111589
0.395,0.0850778
0.4,0.06140666
0.405,0.03916651
0.41,0.01579437
0.415,-0.007393268
0.42,-0.02107691
0.425,-0.01638705
0.43,-0.003262794
0.435,0.007294865
0.44,0.02050052
0.445,0.03530638
0.45,0.03899024
0.455,0.0222571
0.46,-0.02305004
0.465,-0.1010832
0.47,-0.1790633
0.475,-0.2156735
0.48,-0.1983236
0.485,-0.1505138
0.49,-0.0928859
0.495,-0.03198904
0.5,0.02208182
0.505,0.05839068
0.51,0.07510754
0.515,0.08747739
0.52,0.09881926
0.525,0.09789111
0.53,0.06882197
0.535,0.02693483
0.54,0.01111869
0.545,0.02681655
0.55,0.0444084
0.555,0.03653426
0.56,0.00205182
0.565,-0.06089702
0.57,-0.1417662
0.575,-0.1954763
0.58,-0.1797964
0.585,-0.09975559
0.59,-0.002306731
0.595,0.07893912
0.6,0.132103
