T [s],PSa [m/s^2]
0,3.1042
0.01,3.15677
0.02,3.92851
0.03,4.07222
0.04,4.15418
0.05,3.88413
0.06,4.04986
0.07,3.45507
0.08,3.89652
0.09,5.32316
0.1,5.47116
0.11,4.72921
0.12,5.19003
0.13,6.10646
0.14,5.07667
0.15,6.04642
0.16,7.20396
0.17,7.90861
0.18,8.16487
0.19,8.44451
0.2,8.07032
0.21,7.55875
0.22,7.3615
0.23,7.14606
0.24,6.97646
0.25,6.83411
0.26,6.66968
0.27,6.45026
0.28,6.17291
0.29,5.86
0.3,5.5396
0.31,5.58716
0.32,5.56746
0.33,5.62677
0.34,5.72059
0.35,5.71305
0.36,5.56724
0.37,5.30834
0.38,5.15647
0.39,5.01972
0.4,4.84629
0.41,4.64578
0.42,4.4287
0.43,4.20401
0.44,3.97612
0.45,3.74582
0.46,3.51388
0.47,3.28151
0.48,3.05085
0.49,2.8246
0.5,2.661
0.51,2.55899
0.52,2.45797
0.53,2.35811
0.54,2.25964
0.55,2.16277
0.56,2.06773
0.57,1.97474
0.58,1.884
0.59,1.79568
0.6,1.70994
0.61,1.62691
0.62,1.54667
0.63,1.46928
0.64,1.39479
0.65,1.32324
0.66,1.25464
0.67,1.18899
0.68,1.12627
0.69,1.06646
0.7,1.00953
0.71,1.0217
0.72,1.03928
0.73,1.04847
0.74,1.05036
0.75,1.04602
0.76,1.03651
0.77,1.02284
0.78,1.00589
0.79,0.986425
0.8,0.965031
0.81,0.942194
0.82,0.918334
0.83,0.893822
0.84,0.868948
0.85,0.843924
0.86,0.81892
0.87,0.794099
0.88,0.769617
0.89,0.745609
0.9,0.722198
0.91,0.699481
0.92,0.677537
0.93,0.656414
0.94,0.636142
0.95,0.616731
0.96,0.598178
0.97,0.580462
0.98,0.563554
0.99,0.547418
1,0.532006
1.01,0.517271
1.02,0.503158
1.03,0.489617
1.04,0.476592
1.05,0.464031
1.06,0.451885
1.07,0.440102
1.08,0.428637
1.09,0.417451
1.1,0.406504
1.11,0.395763
1.12,0.387488
1.13,0.38282
1.14,0.377732
1.15,0.372282
1.16,0.366556
1.17,0.36066
1.18,0.354738
1.19,0.348907
1.2,0.343308
1.21,0.338989
1.22,0.337167
1.23,0.335122
1.24,0.332868
1.25,0.330416
1.26,0.32778
1.27,0.324967
1.28,0.321978
1.29,0.318811
1.3,0.315463
1.31,0.311929
1.32,0.308211
1.33,0.304307
1.34,0.300221
1.35,0.295954
1.36,0.291515
1.37,0.286907
1.38,0.28214
1.39,0.277223
1.4,0.272166
1.41,0.266981
1.42,0.261678
1.43,0.256268
1.44,0.25138
1.45,0.249848
1.46,0.248235
1.47,0.246543
1.48,0.244777
1.49,0.242937
1.5,0.241027
1.51,0.239049
1.52,0.237006
1.53,0.234902
1.54,0.232739
1.55,0.23052
1.56,0.228249
1.57,0.22593
1.58,0.223564
1.59,0.221156
1.6,0.218708
1.61,0.216224
1.62,0.213707
1.63,0.21116
1.64,0.208585
1.65,0.205985
1.66,0.203364
1.67,0.200724
1.68,0.198068
1.69,0.195399
1.7,0.192718
1.71,0.190028
1.72,0.187333
1.73,0.184633
1.74,0.181931
1.75,0.17923
1.76,0.176531
1.77,0.173836
1.78,0.171146
1.79,0.168465
1.8,0.165792
1.81,0.163131
1.82,0.160482
1.83,0.157848
1.84,0.155228
1.85,0.152625
1.86,0.15004
1.87,0.147474
1.88,0.144928
1.89,0.142404
1.9,0.1399
1.91,0.137421
1.92,0.134965
1.93,0.132533
1.94,0.130126
1.95,0.127745
1.96,0.125391
1.97,0.123063
1.98,0.120763
1.99,0.11849
2,0.116246
2.01,0.114031
2.02,0.111844
2.03,0.109686
2.04,0.107558
2.05,0.105459
2.06,0.103389
2.07,0.10135
2.08,0.09934
2.09,0.0979768
2.1,0.0969617
2.11,0.0959557
2.12,0.0949588
2.13,0.0939709
2.14,0.0929923
2.15,0.0920234
2.16,0.0910635
2.17,0.0901128
2.18,0.0891712
2.19,0.0882388
2.2,0.0873156
2.21,0.0864018
2.22,0.0854972
2.23,0.0846016
2.24,0.083715
2.25,0.0828373
2.26,0.0819687
2.27,0.0811092
2.28,0.0802588
2.29,0.0794172
2.3,0.0785845
2.31,0.0779656
2.32,0.0775549
2.33,0.0771405
2.34,0.0767232
2.35,0.0763026
2.36,0.0758791
2.37,0.0754533
2.38,0.0750249
2.39,0.0745941
2.4,0.0741618
2.41,0.0737275
2.42,0.0732914
2.43,0.0728542
2.44,0.0724157
2.45,0.0719759
2.46,0.0715353
2.47,0.0710941
2.48,0.0706522
2.49,0.0702095
2.5,0.069767
2.51,0.0693242
2.52,0.0688811
2.53,0.0684381
2.54,0.0679956
2.55,0.0675533
2.56,0.0671112
2.57,0.0666696
2.58,0.066229
2.59,0.0657889
2.6,0.0653496
2.61,0.064911
2.62,0.0644739
2.63,0.0640377
2.64,0.0636025
2.65,0.0631685
2.66,0.062736
2.67,0.0623049
2.68,0.0618752
2.69,0.061447
2.7,0.0610202
2.71,0.0605953
2.72,0.0601721
2.73,0.0597505
2.74,0.0593307
2.75,0.0589126
2.76,0.0584967
2.77,0.0580826
2.78,0.0576705
2.79,0.0572603
2.8,0.056852
2.81,0.056446
2.82,0.0560422
2.83,0.0556405
2.84,0.0552408
2.85,0.0548433
2.86,0.054448
2.87,0.0540552
2.88,0.0536646
2.89,0.0532762
2.9,0.05289
2.91,0.0525062
2.92,0.0521246
2.93,0.0517456
2.94,0.051369
2.95,0.0509946
2.96,0.0506227
2.97,0.050253
2.98,0.0498858
2.99,0.049521
3,0.0491588
