T [s],PSa [m/s^2]
0,2.28239
0.01,2.28334
0.02,2.66882
0.03,3.09113
0.04,2.86816
0.05,2.67861
0.06,3.18761
0.07,3.06641
0.08,3.61318
0.09,3.76971
0.1,4.60715
0.11,4.6506
0.12,3.87152
0.13,3.04342
0.14,2.90757
0.15,2.69184
0.16,2.55411
0.17,2.82264
0.18,3.31397
0.19,3.63212
0.2,3.78226
0.21,3.6259
0.22,4.04206
0.23,4.32557
0.24,4.50218
0.25,4.32522
0.26,4.58244
0.27,4.79547
0.28,5.55822
0.29,6.15178
0.3,7.14856
0.31,8.09454
0.32,8.67662
0.33,8.66974
0.34,8.31576
0.35,8.0785
0.36,7.58163
0.37,6.92507
0.38,6.30497
0.39,5.61664
0.4,4.90969
0.41,4.32372
0.42,4.01619
0.43,3.72085
0.44,3.44384
0.45,3.18658
0.46,2.94708
0.47,2.72191
0.48,2.5078
0.49,2.30256
0.5,2.10534
0.51,1.95235
0.52,1.83424
0.53,1.71826
0.54,1.60531
0.55,1.49659
0.56,1.39352
0.57,1.29748
0.58,1.20967
0.59,1.13104
0.6,1.06223
0.61,1.0035
0.62,0.95474
0.63,0.91554
0.64,0.885204
0.65,0.862832
0.66,0.847399
0.67,0.837822
0.68,0.833016
0.69,0.831961
0.7,0.833717
0.71,0.837453
0.72,0.842471
0.73,0.848174
0.74,0.85408
0.75,0.859812
0.76,0.865075
0.77,0.869651
0.78,0.873382
0.79,0.876159
0.8,0.884809
0.81,0.906156
0.82,0.925277
0.83,0.942072
0.84,0.956472
0.85,0.968436
0.86,0.977948
0.87,0.985009
0.88,0.989672
0.89,0.991998
0.9,0.992084
0.91,0.990015
0.92,0.98589
0.93,0.979816
0.94,0.971903
0.95,0.962271
0.96,0.951045
0.97,0.938342
0.98,0.924283
0.99,0.908972
1,0.89252
1.01,0.875035
1.02,0.856639
1.03,0.837452
1.04,0.817607
1.05,0.797256
1.06,0.776567
1.07,0.755691
1.08,0.734677
1.09,0.713523
1.1,0.692244
1.11,0.670889
1.12,0.649512
1.13,0.628169
1.14,0.606903
1.15,0.585749
1.16,0.564753
1.17,0.559495
1.18,0.55838
1.19,0.55672
1.2,0.554502
1.21,0.551569
1.22,0.547899
1.23,0.543547
1.24,0.538589
1.25,0.53313
1.26,0.527256
1.27,0.521032
1.28,0.514479
1.29,0.5076
1.3,0.500406
1.31,0.492928
1.32,0.485191
1.33,0.477211
1.34,0.468999
1.35,0.46057
1.36,0.451947
1.37,0.443156
1.38,0.434223
1.39,0.425172
1.4,0.416024
1.41,0.406798
1.42,0.397512
1.43,0.388188
1.44,0.382145
1.45,0.378796
1.46,0.375357
1.47,0.371837
1.48,0.368241
1.49,0.364578
1.5,0.360856
1.51,0.357079
1.52,0.353255
1.53,0.34939
1.54,0.345488
1.55,0.341555
1.56,0.337597
1.57,0.333618
1.58,0.329622
1.59,0.325614
1.6,0.321599
1.61,0.31758
1.62,0.313561
1.63,0.309546
1.64,0.305538
1.65,0.30154
1.66,0.297556
1.67,0.293587
1.68,0.289638
1.69,0.285709
1.7,0.281805
1.71,0.277927
1.72,0.274076
1.73,0.270255
1.74,0.266465
1.75,0.262708
1.76,0.258985
1.77,0.255298
1.78,0.251647
1.79,0.248033
1.8,0.244458
1.81,0.240923
1.82,0.237427
1.83,0.233973
1.84,0.230559
1.85,0.227187
1.86,0.223857
1.87,0.22057
1.88,0.217325
1.89,0.214122
1.9,0.210963
1.91,0.207847
1.92,0.204774
1.93,0.201744
1.94,0.198757
1.95,0.195813
1.96,0.192912
1.97,0.190054
1.98,0.187237
1.99,0.184464
2,0.181732
2.01,0.179043
2.02,0.176394
2.03,0.173787
2.04,0.171221
2.05,0.168695
2.06,0.166209
2.07,0.163763
2.08,0.161356
2.09,0.158988
2.1,0.156659
2.11,0.154368
2.12,0.152113
2.13,0.149897
2.14,0.147717
2.15,0.145573
2.16,0.143465
2.17,0.141393
2.18,0.139355
2.19,0.137351
2.2,0.135381
2.21,0.133445
2.22,0.131541
2.23,0.12967
2.24,0.127831
2.25,0.126023
2.26,0.124246
2.27,0.122499
2.28,0.120783
2.29,0.119096
2.3,0.117438
2.31,0.115809
2.32,0.114207
2.33,0.112633
2.34,0.111086
2.35,0.109566
2.36,0.108322
2.37,0.107419
2.38,0.106524
2.39,0.105639
2.4,0.104762
2.41,0.103893
2.42,0.103034
2.43,0.102183
2.44,0.101341
2.45,0.100507
2.46,0.0996811
2.47,0.0988641
2.48,0.0980552
2.49,0.0972544
2.5,0.0964616
2.51,0.0956767
2.52,0.0949001
2.53,0.0941314
2.54,0.0933703
2.55,0.092617
2.56,0.0918712
2.57,0.0911329
2.58,0.0904024
2.59,0.0896794
2.6,0.0889636
2.61,0.088255
2.62,0.0875536
2.63,0.0868593
2.64,0.0861722
2.65,0.0854922
2.66,0.084819
2.67,0.0841527
2.68,0.083493
2.69,0.0828401
2.7,0.0821937
2.71,0.0815541
2.72,0.080921
2.73,0.0802943
2.74,0.0796739
2.75,0.0790597
2.76,0.0784518
2.77,0.0778499
2.78,0.0772541
2.79,0.0766646
2.8,0.076081
2.81,0.0755032
2.82,0.0749313
2.83,0.074365
2.84,0.0738045
2.85,0.0732495
2.86,0.0727001
2.87,0.0721562
2.88,0.071618
2.89,0.071085
2.9,0.0705574
2.91,0.070035
2.92,0.0695178
2.93,0.0690058
2.94,0.0684988
2.95,0.0679968
2.96,0.0674998
2.97,0.0670078
2.98,0.0665207
2.99,0.0660384
3,0.0655608
