T [s],PSa [m/s^2]
0,2.17521
0.01,2.17616
0.02,2.37391
0.03,2.73588
0.04,2.6425
0.05,2.37618
0.06,3.70157
0.07,4.28958
0.08,3.1203
0.09,3.02913
0.1,3.09146
0.11,3.78018
0.12,3.49811
0.13,3.83568
0.14,2.85232
0.15,3.10758
0.16,2.98511
0.17,2.30947
0.18,2.26357
0.19,2.35826
0.2,2.59861
0.21,3.01741
0.22,3.46279
0.23,3.6426
0.24,3.64071
0.25,3.61958
0.26,3.68864
0.27,3.84895
0.28,4.03582
0.29,4.36693
0.3,4.69606
0.31,4.77229
0.32,4.66109
0.33,4.87978
0.34,4.95727
0.35,4.93023
0.36,4.81297
0.37,4.66412
0.38,4.65474
0.39,4.61716
0.4,4.55154
0.41,4.45809
0.42,4.33787
0.43,4.19399
0.44,4.03101
0.45,3.85393
0.46,3.66966
0.47,3.50227
0.48,3.40824
0.49,3.31018
0.5,3.20898
0.51,3.10557
0.52,3.00101
0.53,2.89639
0.54,2.79271
0.55,2.69045
0.56,2.58951
0.57,2.48961
0.58,2.39064
0.59,2.29266
0.6,2.1959
0.61,2.10052
0.62,2.00674
0.63,1.91475
0.64,1.86668
0.65,1.89268
0.66,1.89524
0.67,1.87683
0.68,1.84329
0.69,1.81109
0.7,1.83141
0.71,1.83929
0.72,1.83567
0.73,1.82139
0.74,1.79803
0.75,1.76759
0.76,1.73227
0.77,1.69251
0.78,1.64874
0.79,1.60169
0.8,1.5517
0.81,1.49933
0.82,1.44531
0.83,1.39016
0.84,1.33434
0.85,1.27828
0.86,1.22245
0.87,1.16727
0.88,1.11318
0.89,1.06058
0.9,1.00983
0.91,0.96122
0.92,0.915007
0.93,0.871361
0.94,0.830416
0.95,0.792247
0.96,0.756885
0.97,0.724318
0.98,0.694495
0.99,0.667333
1,0.642719
1.01,0.620523
1.02,0.600589
1.03,0.58275
1.04,0.566835
1.05,0.552666
1.06,0.540063
1.07,0.528849
1.08,0.518852
1.09,0.509909
1.1,0.501868
1.11,0.494579
1.12,0.487914
1.13,0.481745
1.14,0.475963
1.15,0.470471
1.16,0.465179
1.17,0.460008
1.18,0.455564
1.19,0.452738
1.2,0.449713
1.21,0.446434
1.22,0.442851
1.23,0.43891
1.24,0.434576
1.25,0.429847
1.26,0.424781
1.27,0.419485
1.28,0.414032
1.29,0.408497
1.3,0.402984
1.31,0.397554
1.32,0.392497
1.33,0.38773
1.34,0.383021
1.35,0.378132
1.36,0.376211
1.37,0.374746
1.38,0.373
1.39,0.370971
1.4,0.368665
1.41,0.366087
1.42,0.363247
1.43,0.360158
1.44,0.356832
1.45,0.353288
1.46,0.349547
1.47,0.34565
1.48,0.34164
1.49,0.337519
1.5,0.333255
1.51,0.328838
1.52,0.324268
1.53,0.319553
1.54,0.314703
1.55,0.309729
1.56,0.304639
1.57,0.299445
1.58,0.29416
1.59,0.288792
1.6,0.283355
1.61,0.27786
1.62,0.272316
1.63,0.266736
1.64,0.261128
1.65,0.258255
1.66,0.256604
1.67,0.254897
1.68,0.253144
1.69,0.251362
1.7,0.249559
1.71,0.247724
1.72,0.24585
1.73,0.243934
1.74,0.241978
1.75,0.239982
1.76,0.23795
1.77,0.235882
1.78,0.233783
1.79,0.231654
1.8,0.229499
1.81,0.227321
1.82,0.225122
1.83,0.222906
1.84,0.220674
1.85,0.218431
1.86,0.216178
1.87,0.213918
1.88,0.211654
1.89,0.209388
1.9,0.207121
1.91,0.204854
1.92,0.202589
1.93,0.200326
1.94,0.198065
1.95,0.195806
1.96,0.193552
1.97,0.191302
1.98,0.189057
1.99,0.186818
2,0.184586
2.01,0.182362
2.02,0.180147
2.03,0.177941
2.04,0.175746
2.05,0.173562
2.06,0.17139
2.07,0.169231
2.08,0.167084
2.09,0.164952
2.1,0.162834
2.11,0.160732
2.12,0.158645
2.13,0.156573
2.14,0.154519
2.15,0.152481
2.16,0.150461
2.17,0.148458
2.18,0.146473
2.19,0.144507
2.2,0.142559
2.21,0.140631
2.22,0.138721
2.23,0.136831
2.24,0.13496
2.25,0.13311
2.26,0.131279
2.27,0.129469
2.28,0.127678
2.29,0.125908
2.3,0.124159
2.31,0.122429
2.32,0.120721
2.33,0.119033
2.34,0.117365
2.35,0.115718
2.36,0.114092
2.37,0.112487
2.38,0.110901
2.39,0.109336
2.4,0.107792
2.41,0.106268
2.42,0.104764
2.43,0.10328
2.44,0.101816
2.45,0.100373
2.46,0.0989484
2.47,0.097544
2.48,0.0961591
2.49,0.0947936
2.5,0.0934473
2.51,0.0921202
2.52,0.0908119
2.53,0.0895225
2.54,0.0882516
2.55,0.0869992
2.56,0.085765
2.57,0.0845489
2.58,0.0833507
2.59,0.0821702
2.6,0.0810073
2.61,0.0798618
2.62,0.0787333
2.63,0.0776218
2.64,0.0765273
2.65,0.0754492
2.66,0.0743875
2.67,0.073342
2.68,0.0723127
2.69,0.071299
2.7,0.070301
2.71,0.0693184
2.72,0.068351
2.73,0.0673987
2.74,0.0664612
2.75,0.0655384
2.76,0.0646299
2.77,0.0637358
2.78,0.0628556
2.79,0.0619893
2.8,0.0611368
2.81,0.0602977
2.82,0.059472
2.83,0.0586593
2.84,0.0578595
2.85,0.0570725
2.86,0.056298
2.87,0.0555359
2.88,0.054786
2.89,0.054048
2.9,0.0533219
2.91,0.0526075
2.92,0.0519045
2.93,0.0512128
2.94,0.0507096
2.95,0.0504679
2.96,0.0502259
2.97,0.0499836
2.98,0.049741
2.99,0.0494984
3,0.0492556
