T [s],PSa [m/s^2]
0,2.46542
0.01,2.48846
0.02,3.00072
0.03,3.38441
0.04,3.62558
0.05,2.90294
0.06,3.17753
0.07,4.32714
0.08,3.75662
0.09,4.31894
0.1,4.92437
0.11,4.52238
0.12,4.23413
0.13,4.45248
0.14,3.4489
0.15,3.60665
0.16,3.53462
0.17,2.95992
0.18,3.21499
0.19,3.43133
0.2,3.60653
0.21,3.32575
0.22,3.41992
0.23,3.62666
0.24,3.66262
0.25,3.83411
0.26,4.35936
0.27,5.02594
0.28,5.80668
0.29,6.50852
0.3,6.68951
0.31,6.27213
0.32,5.59396
0.33,5.76934
0.34,5.78426
0.35,5.65765
0.36,5.40779
0.37,5.14772
0.38,5.12856
0.39,5.07111
0.4,4.97761
0.41,4.85055
0.42,4.69431
0.43,4.51826
0.44,4.32759
0.45,4.12449
0.46,3.91317
0.47,3.69766
0.48,3.48791
0.49,3.38485
0.5,3.28026
0.51,3.17443
0.52,3.06825
0.53,2.96178
0.54,2.85518
0.55,2.74879
0.56,2.64273
0.57,2.5372
0.58,2.43266
0.59,2.32968
0.6,2.22851
0.61,2.12912
0.62,2.03145
0.63,1.93562
0.64,1.84178
0.65,1.8402
0.66,1.81809
0.67,1.77492
0.68,1.71442
0.69,1.68645
0.7,1.70861
0.71,1.71832
0.72,1.71576
0.73,1.70231
0.74,1.67888
0.75,1.64679
0.76,1.60773
0.77,1.56336
0.78,1.51483
0.79,1.46303
0.8,1.40907
0.81,1.35381
0.82,1.29784
0.83,1.24177
0.84,1.18607
0.85,1.13105
0.86,1.07705
0.87,1.02447
0.88,0.973658
0.89,0.924958
0.9,0.87863
0.91,0.834882
0.92,0.793856
0.93,0.75565
0.94,0.720302
0.95,0.687818
0.96,0.658154
0.97,0.631239
0.98,0.606967
0.99,0.58521
1,0.565816
1.01,0.548618
1.02,0.53344
1.03,0.520094
1.04,0.508396
1.05,0.498156
1.06,0.489195
1.07,0.481338
1.08,0.474418
1.09,0.468281
1.1,0.462784
1.11,0.457798
1.12,0.453204
1.13,0.448897
1.14,0.444783
1.15,0.440783
1.16,0.436826
1.17,0.43285
1.18,0.428806
1.19,0.424648
1.2,0.420345
1.21,0.415866
1.22,0.411189
1.23,0.4063
1.24,0.401186
1.25,0.39584
1.26,0.39026
1.27,0.384446
1.28,0.378956
1.29,0.37385
1.3,0.36863
1.31,0.36357
1.32,0.359073
1.33,0.358556
1.34,0.358457
1.35,0.358037
1.36,0.3573
1.37,0.356252
1.38,0.354905
1.39,0.353266
1.4,0.351339
1.41,0.349126
1.42,0.346631
1.43,0.343863
1.44,0.340832
1.45,0.337548
1.46,0.334024
1.47,0.330274
1.48,0.326311
1.49,0.322149
1.5,0.317802
1.51,0.313284
1.52,0.308608
1.53,0.30379
1.54,0.298844
1.55,0.293784
1.56,0.288626
1.57,0.283383
1.58,0.278067
1.59,0.272692
1.6,0.267266
1.61,0.261798
1.62,0.256295
1.63,0.250766
1.64,0.245218
1.65,0.239658
1.66,0.234094
1.67,0.228533
1.68,0.2268
1.69,0.225335
1.7,0.223814
1.71,0.222241
1.72,0.22062
1.73,0.218952
1.74,0.217242
1.75,0.215492
1.76,0.213705
1.77,0.211884
1.78,0.210031
1.79,0.20815
1.8,0.206241
1.81,0.204308
1.82,0.202353
1.83,0.200379
1.84,0.198386
1.85,0.196377
1.86,0.194355
1.87,0.19232
1.88,0.190275
1.89,0.188221
1.9,0.186159
1.91,0.184093
1.92,0.182022
1.93,0.17995
1.94,0.177877
1.95,0.175805
1.96,0.173735
1.97,0.171669
1.98,0.169607
1.99,0.167552
2,0.165502
2.01,0.16346
2.02,0.161425
2.03,0.159398
2.04,0.15738
2.05,0.155372
2.06,0.153374
2.07,0.151387
2.08,0.149412
2.09,0.147449
2.1,0.145498
2.11,0.143561
2.12,0.141638
2.13,0.139729
2.14,0.137834
2.15,0.135956
2.16,0.134093
2.17,0.132246
2.18,0.130416
2.19,0.128602
2.2,0.126806
2.21,0.125027
2.22,0.123266
2.23,0.121523
2.24,0.119799
2.25,0.118092
2.26,0.116404
2.27,0.114735
2.28,0.113085
2.29,0.111454
2.3,0.109842
2.31,0.108248
2.32,0.106675
2.33,0.10512
2.34,0.103584
2.35,0.102068
2.36,0.100571
2.37,0.099093
2.38,0.0976343
2.39,0.0961946
2.4,0.0947743
2.41,0.0933728
2.42,0.0919904
2.43,0.0906266
2.44,0.0892819
2.45,0.0879556
2.46,0.086648
2.47,0.0853587
2.48,0.084088
2.49,0.0828353
2.5,0.0816007
2.51,0.0803841
2.52,0.0791851
2.53,0.0780039
2.54,0.0768402
2.55,0.0756937
2.56,0.0745644
2.57,0.0734522
2.58,0.0723567
2.59,0.0712778
2.6,0.0702155
2.61,0.0691695
2.62,0.0681396
2.63,0.0671255
2.64,0.0661274
2.65,0.0651448
2.66,0.0641776
2.67,0.0632256
2.68,0.0622885
2.69,0.0613664
2.7,0.060459
2.71,0.059897
2.72,0.0594437
2.73,0.0589934
2.74,0.0585464
2.75,0.0581027
2.76,0.057662
2.77,0.0572244
2.78,0.05679
2.79,0.0563587
2.8,0.0559305
2.81,0.0555055
2.82,0.0550837
2.83,0.0546652
2.84,0.0542499
2.85,0.0538377
2.86,0.0534286
2.87,0.0530226
2.88,0.0526198
2.89,0.0522201
2.9,0.0518236
2.91,0.0514302
2.92,0.05104
2.93,0.0506529
2.94,0.050269
2.95,0.0498881
2.96,0.0495103
2.97,0.0491355
2.98,0.0488282
2.99,0.0485793
3,0.0483305
